Year,Id,SOS_doy,SOS_date,Date,NDVI_smooth3
2000,scn.loam,45,2000-02-15,,
2001,scn.loam,81,2001-03-23,2001-03-23,0.1026360690593719
2002,scn.loam,42,2002-02-12,2002-02-12,0.1172423809766769
2003,scn.loam,61,2003-03-03,2003-03-03,0.0861386433243751
2004,scn.loam,65,2004-03-06,2004-03-06,0.1028778553009033
2005,scn.loam,65,2005-03-07,2005-03-07,0.1172900423407554
2006,scn.loam,91,2006-04-02,2006-04-02,0.1137130558490753
2007,scn.loam,66,2007-03-08,2007-03-08,0.1187549754977226
2008,scn.loam,98,2008-04-08,2008-04-08,0.1244460642337799
2009,scn.loam,63,2009-03-05,2009-03-05,0.1140526086091995
2010,scn.loam,86,2010-03-28,2010-03-28,0.1426419019699096
2011,scn.loam,94,2011-04-05,2011-04-05,0.1162433326244354
2013,scn.loam,116,2013-04-27,2013-04-27,0.1529106497764587
2014,scn.loam,84,2014-03-26,2014-03-26,0.1742289513349533
2015,scn.loam,77,2015-03-19,2015-03-19,0.1914824098348617
2016,scn.loam,62,2016-03-03,2016-03-03,0.1574058858631947
2017,scn.loam,70,2017-03-12,2017-03-12,0.1537521987973621
2018,scn.loam,67,2018-03-09,2018-03-09,0.1638881574071386
2019,scn.loam,82,2019-03-24,2019-03-24,0.155758515514754
2020,scn.loam,94,2020-04-04,2020-04-04,0.1581041669223482
2021,scn.loam,82,2021-03-24,2021-03-24,0.1468997730584005
2022,scn.loam,63,2022-03-05,2022-03-05,0.1593141621803362
2023,scn.loam,104,2023-04-15,2023-04-15,0.1607714593679318
2000,scn.sand,55,2000-02-25,2000-02-25,0.1204282790422439
2001,scn.sand,82,2001-03-24,2001-03-24,0.1006829068064689
2002,scn.sand,30,2002-01-31,2002-01-31,0.1226163432002067
2003,scn.sand,72,2003-03-14,2003-03-14,0.1081413477659225
2004,scn.sand,84,2004-03-25,2004-03-25,0.116379402577877
2005,scn.sand,86,2005-03-28,2005-03-28,0.1337030380964279
2006,scn.sand,59,2006-03-01,2006-03-01,0.1149613261222839
2007,scn.sand,69,2007-03-11,2007-03-11,0.130063772201538
2008,scn.sand,104,2008-04-14,2008-04-14,0.1263103932142257
2009,scn.sand,82,2009-03-24,2009-03-24,0.1272989511489868
2010,scn.sand,85,2010-03-27,2010-03-27,0.1134932711720466
2011,scn.sand,100,2011-04-11,2011-04-11,0.1313290148973465
2013,scn.sand,117,2013-04-28,2013-04-28,0.1304784417152404
2014,scn.sand,66,2014-03-08,2014-03-08,0.1995922625064849
2015,scn.sand,116,2015-04-27,2015-04-27,0.2161405235528946
2016,scn.sand,61,2016-03-02,2016-03-02,0.1696306214302075
2017,scn.sand,65,2017-03-07,2017-03-07,0.1652358165752049
2018,scn.sand,67,2018-03-09,2018-03-09,0.1861125603901943
2019,scn.sand,70,2019-03-12,2019-03-12,0.1600683425425572
2020,scn.sand,97,2020-04-07,2020-04-07,0.169190077536402
2021,scn.sand,84,2021-03-26,2021-03-26,0.1653842122184984
2022,scn.sand,65,2022-03-07,2022-03-07,0.1728580441793504
2023,scn.sand,63,2023-03-05,2023-03-05,0.1684556972672619
